dataset,released_task_count,method,RISE,MAS,Recovery,RecoveryBudgetFraction,RecoveryMetric,RecoveryBudgetUnit,RecoveryTargetMode,RecoveryAttributionVariant,RecoveryProtocol
niah_mq_q2,100,Perturbation,0.09447340050800794,0.14419702587660505,0.39045846127703876,0.1,released_token_recovery,released_eligible_tokens,released_protocol,Perturbation,table1-data-v1
niah_mq_q2,100,REAGENT,0.1174040162708623,0.196588714609241,0.24348726913810573,0.1,released_token_recovery,released_eligible_tokens,released_protocol,REAGENT,table1-data-v1
niah_mq_q2,100,CLP,0.09773189556039677,0.16630092406061742,0.3984957500875737,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mq_q2,100,IFR,0.074686430032136,0.13966833431465003,0.4709987595590548,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mq_q2,100,AttnLRP,0.19546391155702558,0.32607924929399745,0.21487495548966914,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mq_q2,100,FT,0.06815177263544267,0.1628302243001918,0.46317452145810656,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT_K3,qwen-symmetric-full-20260913-v1
niah_mq_q2,100,DT,0.07228403839357311,0.1176405075443263,0.6724439489054455,0.1,released_token_recovery,released_eligible_tokens,released_protocol,pv-layer-symmetric-v1,qwen-symmetric-full-20260913-v1
niah_mq_q4,100,Perturbation,0.23892953972796993,0.32701285032074956,0.090411636099395,0.1,released_token_recovery,released_eligible_tokens,released_protocol,Perturbation,table1-data-v1
niah_mq_q4,100,REAGENT,0.25990910282039664,0.35738017102627073,0.0849423897488159,0.1,released_token_recovery,released_eligible_tokens,released_protocol,REAGENT,table1-data-v1
niah_mq_q4,100,CLP,0.25336391466813973,0.32030390488205646,0.08575049342982505,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mq_q4,100,IFR,0.11474161411830242,0.17697818425853803,0.32837479196917035,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mq_q4,100,AttnLRP,0.2628439378905114,0.4509463301339251,0.20424426907544432,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mq_q4,100,FT,0.11338990432038687,0.1936800397720413,0.3958067330649762,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT_K3,qwen-symmetric-full-20260913-v1
niah_mq_q4,100,DT,0.14478268699292493,0.20112045081769214,0.47162825988184204,0.1,released_token_recovery,released_eligible_tokens,released_protocol,pv-layer-symmetric-v1,qwen-symmetric-full-20260913-v1
niah_mq_q8,100,Perturbation,0.49861485088062196,0.7092614765885078,0.009702917797254003,0.1,released_token_recovery,released_eligible_tokens,released_protocol,Perturbation,table1-data-v1
niah_mq_q8,100,REAGENT,0.4865415909805819,0.6942348093449517,0.00468837791956597,0.1,released_token_recovery,released_eligible_tokens,released_protocol,REAGENT,table1-data-v1
niah_mq_q8,100,CLP,0.5095899137480085,0.656643518739108,0.008365653018125144,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mq_q8,100,IFR,0.37089451963968245,0.46003435064240866,0.011929881485977647,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mq_q8,100,AttnLRP,0.3765915636640412,0.6020088779362799,0.07630267074840419,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mq_q8,100,FT,0.3518675440623127,0.4270554353680597,0.07721048311680473,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT_K3,qwen-symmetric-full-20260913-v1
niah_mq_q8,100,DT,0.42856455491760914,0.6046887201556076,0.13589651057434493,0.1,released_token_recovery,released_eligible_tokens,released_protocol,pv-layer-symmetric-v1,qwen-symmetric-full-20260913-v1
niah_mv_v2,100,Perturbation,0.13425895786504932,0.1870389553680569,0.25480997082627516,0.1,released_token_recovery,released_eligible_tokens,released_protocol,Perturbation,table1-data-v1
niah_mv_v2,100,REAGENT,0.18762258814864974,0.2756323489553968,0.18017193675889334,0.1,released_token_recovery,released_eligible_tokens,released_protocol,REAGENT,table1-data-v1
niah_mv_v2,100,CLP,0.15588568726490024,0.21585110445784828,0.20665031526444572,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mv_v2,100,IFR,0.06909882243770366,0.13429019852346663,0.5750292965890791,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mv_v2,100,AttnLRP,0.14025950531981088,0.22896153656839657,0.2543767697680741,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mv_v2,100,FT,0.06861595673193224,0.15690640246558477,0.5346267410951622,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT_K3,qwen-symmetric-full-20260913-v1
niah_mv_v2,100,DT,0.05968718169907447,0.10459118418535486,0.7779481278954964,0.1,released_token_recovery,released_eligible_tokens,released_protocol,pv-layer-symmetric-v1,qwen-symmetric-full-20260913-v1
niah_mv_v4,100,Perturbation,0.1861629844042408,0.2435981599277158,0.16053912572934315,0.1,released_token_recovery,released_eligible_tokens,released_protocol,Perturbation,table1-data-v1
niah_mv_v4,100,REAGENT,0.21073488389938913,0.29046401766008606,0.15598549548277807,0.1,released_token_recovery,released_eligible_tokens,released_protocol,REAGENT,table1-data-v1
niah_mv_v4,100,CLP,0.21657475326708744,0.2803828606488076,0.1460664408055712,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mv_v4,100,IFR,0.07258311538067697,0.1415578784008213,0.4523506375870505,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mv_v4,100,AttnLRP,0.1934095833156573,0.32478776753182315,0.24252483295689825,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mv_v4,100,FT,0.07040900326342016,0.16047286641193675,0.4936952134123186,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT_K3,qwen-symmetric-full-20260913-v1
niah_mv_v4,100,DT,0.05866589736524567,0.10582212359873784,0.567888822434875,0.1,released_token_recovery,released_eligible_tokens,released_protocol,pv-layer-symmetric-v1,qwen-symmetric-full-20260913-v1
niah_mv_v8,100,Perturbation,0.3514381379660517,0.4580237274546788,0.0801607966309053,0.1,released_token_recovery,released_eligible_tokens,released_protocol,Perturbation,table1-data-v1
niah_mv_v8,100,REAGENT,0.36853488514991656,0.4937527194304566,0.0736988107001694,0.1,released_token_recovery,released_eligible_tokens,released_protocol,REAGENT,table1-data-v1
niah_mv_v8,100,CLP,0.39292587217410513,0.5113572510458099,0.0729326063429324,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mv_v8,100,IFR,0.20514763701816674,0.27462684716009383,0.17869094085262557,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mv_v8,100,AttnLRP,0.2851778051005854,0.475240883166524,0.1588264339826839,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mv_v8,100,FT,0.18276935593419086,0.24769957717024457,0.19520665774284196,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT_K3,qwen-symmetric-full-20260913-v1
